Date,open,high,low,close,volume
2025-06-03,970.86,980.09,965.84,976.96,495700
2025-06-04,981.8,985.78,979.8,983.76,491700
2025-06-05,989.07,991.0,978.59,985.46,479400
2025-06-06,993.73,1000.98,987.33,989.05,627700
2025-06-09,991.29,994.42,981.52,988.84,420000
2025-06-10,987.5,993.12,985.0,991.9,478700
2025-06-11,995.3,1003.31,990.0,993.3,645700
2025-06-12,989.91,994.5,983.74,988.25,558500
2025-06-13,980.32,985.57,967.34,971.82,674300
2025-06-16,986.59,989.15,977.23,982.1,522400
2025-06-17,975.85,980.43,965.63,969.18,624800
2025-06-18,970.81,988.27,966.45,979.52,662600
2025-06-20,982.21,986.91,973.21,974.44,859500
2025-06-23,975.32,986.45,966.48,986.3,642900
2025-06-24,995.5,1005.85,993.0,1004.97,699500
2025-06-25,1007.73,1020.0,1000.0,1018.08,661800
2025-06-26,1020.52,1037.0,1017.7,1030.79,631200
2025-06-27,1035.6,1050.0,1034.36,1047.82,799900
2025-06-30,1049.98,1054.18,1041.31,1049.25,530400
2025-07-01,1046.58,1057.0,1041.43,1054.27,472900
2025-07-02,1056.0,1070.66,1050.0,1070.57,495000
2025-07-03,1071.33,1082.48,1066.63,1082.15,342700
2025-07-07,1084.0,1086.84,1070.02,1075.97,559700
2025-07-08,1075.42,1079.86,1070.0,1075.02,502500
2025-07-09,1080.0,1088.77,1077.64,1088.75,340400
2025-07-10,1091.78,1105.72,1084.15,1104.05,467500
2025-07-11,1099.61,1103.44,1091.82,1101.64,545400
2025-07-14,1101.08,1112.13,1098.44,1111.46,661800
2025-07-15,1070.85,1076.47,1033.77,1046.16,1939400
2025-07-16,1054.59,1086.95,1053.0,1082.24,1407200
2025-07-17,1085.0,1109.29,1077.11,1105.38,1175600
2025-07-18,1111.93,1119.19,1102.58,1103.59,991300
2025-07-21,1107.68,1110.71,1093.02,1093.02,445700
2025-07-22,1096.08,1103.81,1086.18,1100.39,580800
2025-07-23,1104.17,1122.73,1100.56,1120.37,653400
2025-07-24,1117.0,1125.76,1113.64,1118.37,539500
2025-07-25,1122.32,1130.66,1117.76,1123.28,516300
2025-07-28,1124.0,1125.69,1115.09,1117.82,299300
2025-07-29,1123.35,1127.94,1114.75,1121.53,422000
2025-07-30,1117.3,1126.55,1109.44,1114.65,372400
2025-07-31,1108.29,1120.95,1103.24,1106.01,498400
2025-08-01,1089.0,1097.66,1077.2,1091.8,673200
2025-08-04,1097.98,1116.06,1095.25,1116.06,503100
2025-08-05,1122.74,1122.74,1099.52,1109.64,481300
2025-08-06,1114.02,1122.14,1105.97,1120.54,404900
2025-08-07,1130.0,1131.93,1108.16,1112.83,381400
2025-08-08,1119.72,1126.17,1114.55,1124.97,427800
2025-08-11,1125.0,1133.08,1121.78,1127.93,575600
2025-08-12,1134.33,1161.5,1131.57,1159.61,669000
2025-08-13,1166.5,1171.89,1148.0,1160.03,570800
2025-08-14,1154.13,1162.5,1144.83,1160.16,407600
2025-08-15,1163.52,1163.52,1134.43,1135.01,582200
2025-08-18,1134.0,1141.0,1126.82,1136.12,405800
2025-08-19,1126.28,1135.0,1121.8,1128.47,611700
2025-08-20,1125.86,1132.84,1114.01,1128.46,573100
2025-08-21,1124.82,1129.0,1118.83,1124.75,275100
2025-08-22,1128.89,1157.75,1126.0,1148.17,433700
2025-08-25,1143.41,1150.0,1136.57,1137.1,415000
2025-08-26,1135.03,1142.41,1125.53,1139.8,580200
2025-08-27,1138.39,1144.78,1131.56,1131.63,310000
2025-08-28,1133.8,1138.0,1127.12,1130.48,475200
2025-08-29,1131.9,1134.14,1118.45,1127.14,230914
