Date,open,high,low,close,volume
2025-03-27,388.78,390.88,386.06,389.22,13766800
2025-03-28,386.73,387.78,375.62,377.49,21632000
2025-03-31,371.25,375.76,365.97,374.09,35184700
2025-04-01,373.35,381.52,371.93,380.86,19689500
2025-04-02,376.66,383.74,375.31,380.81,16092600
2025-04-03,373.49,376.17,368.07,371.82,30198000
2025-04-04,362.87,373.29,358.23,358.59,49209900
2025-04-07,349.66,369.71,343.59,356.62,50425000
2025-04-08,366.98,372.35,349.03,353.33,35868900
2025-04-09,352.31,391.87,351.87,389.13,50199700
2025-04-10,380.73,382.57,366.52,380.03,38024400
2025-04-11,379.32,388.7,377.57,387.1,23839200
2025-04-14,391.86,393.28,382.88,386.46,19251200
2025-04-15,387.16,390.53,382.83,384.39,17199900
2025-04-16,379.35,380.29,366.72,370.32,21967800
2025-04-17,372.45,373.02,365.62,366.5,21120200
2025-04-21,361.56,363.22,354.44,357.87,20807300
2025-04-22,362.12,366.49,358.61,365.55,19485000
2025-04-23,374.75,379.07,371.73,373.09,20545500
2025-04-24,374.4,387.1,373.89,385.96,22232300
2025-04-25,385.66,390.8,383.27,390.49,18973200
2025-04-28,390.6,391.38,385.3,389.8,16579400
2025-04-29,389.94,393.73,389.03,392.67,14974000
2025-04-30,388.95,395.28,383.11,393.89,36461100
2025-05-01,429.61,435.47,423.43,423.92,58938100
2025-05-02,430.24,437.91,428.5,433.77,30757400
2025-05-05,431.37,437.97,430.61,434.66,20136100
2025-05-06,430.7,436.21,429.67,431.81,15104200
2025-05-07,432.33,436.6,429.61,431.85,23295300
2025-05-08,436.41,442.13,434.15,436.65,23491300
2025-05-09,438.47,439.21,434.37,437.21,15324200
2025-05-12,444.39,447.81,438.25,447.7,22821900
2025-05-13,446.23,449.11,443.81,447.58,23618800
2025-05-14,446.58,452.32,446.58,451.37,19902800
2025-05-15,450.03,455.44,449.69,452.39,21992300
2025-05-16,451.31,453.61,447.99,453.52,23849800
2025-05-19,450.14,458.84,450.06,458.12,21336500
2025-05-20,454.84,457.59,453.57,457.42,15441800
2025-05-21,453.82,457.03,451.07,451.83,19216900
2025-05-22,454.2,459.49,453.16,454.11,18025600
2025-05-23,449.24,452.95,448.17,449.44,16883500
2025-05-27,455.73,460.19,455.37,459.93,20974300
2025-05-28,460.46,461.76,456.18,456.61,17086300
2025-05-29,460.79,460.96,454.56,457.93,13974800
2025-05-30,458.97,460.92,454.79,459.6,34770500
2025-06-02,456.39,461.35,456.14,461.21,16626500
2025-06-03,460.71,463.38,460.1,462.21,15743800
2025-06-04,463.24,464.93,462.26,463.11,14162700
2025-06-05,464.2,468.88,463.27,466.91,20131700
2025-06-06,469.32,472.56,468.01,469.61,15285600
2025-06-09,468.93,472.65,467.85,471.97,16469900
2025-06-10,470.42,472.02,466.19,470.15,15375900
2025-06-11,469.25,474.69,468.89,471.84,16399200
2025-06-12,474.24,479.63,472.74,478.08,18950600
2025-06-13,475.63,478.39,471.98,474.18,16814500
2025-06-16,474.43,479.9,474.22,478.35,15626100
2025-06-17,474.62,477.95,473.3,477.26,15414100
2025-06-18,477.22,480.21,473.68,479.45,17526500
2025-06-20,481.44,482.67,476.09,476.62,37576200
2025-06-23,477.43,486.95,471.73,485.2,24864000
2025-06-24,488.15,491.04,486.0,489.31,22305600
2025-06-25,491.23,493.75,488.59,491.46,17495100
2025-06-26,492.17,497.22,492.0,496.63,21578900
2025-06-27,496.73,498.48,492.22,495.13,34539200
2025-06-30,496.22,499.94,494.52,496.59,28369000
2025-07-01,495.66,497.23,490.17,491.24,19945400
2025-07-02,489.19,492.69,487.9,490.28,16319600
2025-07-03,493.0,499.31,492.63,498.02,13984800
2025-07-07,496.56,497.93,494.42,496.9,13981600
2025-07-08,496.42,497.38,493.3,495.8,11846600
2025-07-09,499.48,505.95,498.92,502.68,18659500
2025-07-10,502.22,503.61,496.93,500.66,16492100
2025-07-11,497.65,504.2,496.98,502.49,16459500
2025-07-14,500.7,503.14,500.21,502.19,12058800
2025-07-15,502.19,507.47,501.96,504.99,14927200
2025-07-16,504.35,505.89,501.07,504.79,15154400
2025-07-17,504.85,512.53,504.79,510.86,17503100
2025-07-18,513.64,513.8,506.6,509.21,21209700
2025-07-21,505.88,511.25,504.72,509.22,14066800
2025-07-22,510.13,510.36,504.44,504.44,13868600
2025-07-23,505.92,505.96,499.88,505.04,16396600
2025-07-24,507.93,512.83,506.47,510.04,16107000
2025-07-25,511.63,517.44,509.52,512.87,19125700
2025-07-28,513.24,514.15,509.28,511.66,14308000
2025-07-29,514.68,516.77,510.72,511.73,16469200
2025-07-30,514.32,515.1,508.6,512.4,26380400
2025-07-31,554.32,554.54,531.03,532.62,51617300
2025-08-01,534.12,534.92,520.01,523.25,28977600
2025-08-04,527.4,537.37,527.26,534.76,25349000
